Country,Child early and forced marriage,Domestic violence/Intimate partner violence,Female genital mutilation,Female genital mutilation.1,Femicide Feminicide,Forced pregnancy,Forced sterilization,Form Of Violence,Other harmful practices,Sexual harassment,Sexual violence,Stalking,Technology-facilitated violence against women,Trafficking,Violence against women and girls,tot_prev,ISO
Mozambique,1,1,0,0,0,0,0,0,0,0,1,0,0,2,11,16,MOZ
Myanmar,1,1,0,0,0,0,0,0,0,0,1,0,0,1,13,17,MMR
Namibia,0,6,0,0,0,0,0,0,0,1,0,0,0,2,11,20,NAM
Nauru,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,8,NRU
Nepal,0,8,0,0,0,1,0,0,0,1,2,0,0,10,17,39,NPL
Netherlands (Kingdom of the),3,16,1,0,0,0,0,0,0,1,3,0,0,11,7,42,NLD
New Zealand,0,28,1,0,0,0,0,0,0,0,5,0,0,1,11,46,NZL
Nicaragua,0,4,0,0,1,0,0,0,0,0,0,0,0,1,16,22,NIC
Niger,2,1,2,0,0,0,0,0,0,0,0,0,0,2,15,22,NER
Nigeria,1,4,3,0,0,0,0,0,1,1,0,0,0,5,21,36,NGA
North Macedonia,0,27,0,0,0,0,0,0,0,1,1,0,0,14,7,50,MKD
Norway,8,19,8,0,1,0,0,1,0,1,1,0,0,6,14,59,NOR
Oman,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,13,OMN
Pakistan,2,9,0,0,0,0,0,0,2,4,1,0,0,2,15,35,PAK
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,PLW
Panama,0,3,0,0,2,0,0,0,0,2,1,0,0,4,15,27,PAN
Papua New Guinea,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,8,PNG
Paraguay,0,13,0,0,1,0,0,0,0,1,2,0,0,14,21,52,PRY
Peru,0,27,0,0,5,0,0,0,0,6,2,0,0,3,22,65,PER
Philippines,0,13,0,0,0,0,0,0,0,2,2,0,0,8,13,38,PHL
Poland,0,17,0,0,0,0,0,0,0,0,0,0,0,4,2,23,POL
Portugal,2,19,9,0,0,0,0,0,0,0,0,0,0,16,16,62,PRT
Qatar,0,9,0,0,0,0,0,0,0,1,1,0,0,6,11,28,QAT
Republic of Korea,0,15,0,0,0,0,0,0,0,3,9,0,0,2,11,40,KOR
Republic of Moldova,0,20,0,0,0,0,0,0,0,0,1,0,0,9,7,37,MDA
Romania,0,20,0,0,0,0,0,0,0,1,1,0,0,2,7,31,ROU
Russian Federation,0,7,0,0,0,0,0,0,0,0,2,0,0,4,8,21,RUS
Rwanda,1,5,0,0,0,0,1,0,0,1,2,0,0,3,21,34,RWA
Saint Kitts and Nevis,0,3,0,0,0,0,0,0,0,1,3,0,0,1,5,13,KNA
Saint Lucia,0,4,0,0,0,0,0,0,0,1,2,0,0,1,12,20,LCA
Saint Vincent and the Grenadines,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,6,VCT
Samoa,0,6,0,0,0,0,0,0,0,0,0,0,0,1,17,24,WSM
San Marino,0,2,0,0,0,0,0,0,0,0,0,1,0,0,10,13,SMR
Sao Tome and Principe,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,11,STP
Saudi Arabia,0,4,0,0,0,0,0,0,0,1,0,0,0,4,7,16,SAU
Senegal,0,0,4,0,0,0,0,0,0,0,1,0,0,4,11,20,SEN
Serbia,1,12,0,0,0,0,0,0,0,2,2,0,0,7,15,39,SRB
Seychelles,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,23,SYC
Sierra Leone,1,4,0,0,0,0,0,0,0,0,4,0,0,3,6,18,SLE
Singapore,0,22,0,0,0,0,0,0,0,2,8,0,0,5,9,46,SGP
Slovakia,0,14,0,0,0,0,0,0,0,1,0,0,0,5,7,27,SVK
Slovenia,2,28,0,0,0,0,0,0,0,6,2,0,1,5,19,63,SVN
Solomon Islands,0,6,0,0,0,0,0,0,0,0,1,0,0,2,13,22,SLB
Somalia,4,1,2,0,0,0,0,0,0,0,3,0,0,0,4,14,SOM
South Africa,0,4,1,0,1,0,0,0,0,1,2,0,0,1,10,20,ZAF
South Sudan,1,0,1,0,0,0,0,0,0,0,5,0,0,2,11,20,SSD
Spain,0,25,6,0,0,1,0,0,0,1,1,0,0,6,20,60,ESP
Sri Lanka,0,7,0,0,0,0,0,0,0,1,0,0,0,5,12,25,LKA
Sudan,0,3,6,0,0,0,0,0,0,0,3,0,0,1,23,36,SDN
Suriname,0,17,0,0,0,0,0,0,0,0,0,0,0,3,4,24,SUR
Sweden,2,18,2,0,0,0,0,0,2,3,8,0,0,4,12,51,SWE
Switzerland,1,26,2,0,1,0,0,0,0,1,0,0,0,1,11,43,CHE
Syrian Arab Republic,0,1,0,0,0,0,0,0,1,1,1,0,0,2,11,17,SYR
Tajikistan,3,17,0,0,0,0,0,0,0,0,3,0,0,7,13,43,TJK
Thailand,0,18,0,0,0,0,0,0,0,3,0,0,0,7,5,33,THA
Timor-Leste,0,10,0,0,0,0,0,0,0,1,1,0,0,2,16,30,TLS
Togo,2,0,2,0,0,1,0,0,0,3,3,0,0,1,32,44,TGO
Tonga,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,12,TON
Trinidad and Tobago,1,9,0,0,0,0,0,0,0,1,0,0,0,2,8,21,TTO
Tunisia,0,14,0,0,0,0,0,0,0,2,1,0,0,3,14,34,TUN
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,12,TKM
Tuvalu,0,5,0,0,0,0,0,0,0,0,3,0,0,1,11,20,TUV
Türkiye,4,19,0,0,1,0,0,0,2,2,0,0,0,1,13,42,TUR
Uganda,2,4,2,0,0,0,0,0,1,1,2,0,0,2,19,33,UGA
Ukraine,1,10,0,0,0,0,0,0,0,1,1,0,0,0,7,20,UKR
United Arab Emirates,0,1,0,0,0,0,0,0,0,0,2,0,0,5,5,13,ARE
United Kingdom of Great Britain and Northern Ireland,5,49,6,0,0,0,0,0,2,3,14,1,0,4,7,91,GBR
United Republic of Tanzania,2,3,1,0,0,0,0,0,0,0,0,0,0,2,18,26,TZA
United States of America,0,7,3,0,0,0,0,0,0,0,9,0,0,9,11,39,USA
Uruguay,0,15,0,0,1,0,0,0,0,2,2,0,0,7,19,46,URY
Uzbekistan,1,4,0,0,0,0,0,0,0,1,0,0,0,1,2,9,UZB
Vanuatu,0,5,0,0,0,0,0,0,0,0,1,0,0,1,6,13,VUT
Venezuela (Bolivarian Republic of),0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,21,VEN
Viet Nam,0,10,0,0,0,0,0,0,0,1,0,0,0,5,10,26,VNM
Yemen,3,8,2,0,0,0,0,0,0,0,0,0,0,0,14,27,YEM
Zambia,0,3,0,0,0,0,0,0,0,1,2,0,0,3,17,26,ZMB
Zimbabwe,0,7,0,0,0,0,0,0,0,1,1,0,0,0,24,33,ZWE
